From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C)
2022-08-17 08:00:00,15.52,28.07,12.28,13.76,26.05,27.77503817202344,12.562969638194955,1.33,193.91,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 09:00:00,12.86,28.88,12.46,13.9,26.36,27.77503817202344,12.562969638194955,1.35,176.78,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 10:00:00,14.66,30.77,12.32,14.21,26.53,27.77503817202344,12.562969638194955,1.35,148.72,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 11:00:00,37.72,51.26,12.31,14.5,26.82,27.77503817202344,12.562969638194955,1.37,196.21,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 12:00:00,26.46,35.81,12.12,14.46,26.58,27.77503817202344,12.562969638194955,1.34,188.37,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 13:00:00,20.46,32.88,12.07,14.46,26.52,27.77503817202344,12.562969638194955,1.34,197.05,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 14:00:00,25.46,36.47,12.25,14.7,26.94,27.77503817202344,12.562969638194955,1.35,189.69,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 15:00:00,19.03,42.17,12.23,14.64,26.87,27.77503817202344,12.562969638194955,1.35,191.0,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-17 16:00:00,24.73,38.36,12.27,14.68,26.95,27.77503817202344,12.562969638194955,1.34,188.54,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 08:00:00,4.34,18.67,14.25,13.64,27.89,27.77503817202344,12.562969638194955,1.38,195.1,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 09:00:00,21.13,28.53,14.13,13.73,27.86,27.77503817202344,12.562969638194955,1.4,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 10:00:00,14.98,31.5,13.96,13.83,27.8,27.77503817202344,12.562969638194955,1.37,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 11:00:00,22.19,52.05,13.21,14.42,27.63,27.77503817202344,12.562969638194955,1.38,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 12:00:00,14.28,55.09,12.73,14.62,27.35,27.77503817202344,12.562969638194955,1.38,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 13:00:00,28.71,53.78,12.03,15.21,27.24,27.77503817202344,12.562969638194955,1.38,199.42,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 14:00:00,20.09,37.92,11.25,15.27,26.51,27.77503817202344,12.562969638194955,1.36,169.36,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 15:00:00,33.92,57.45,5.87,16.45,22.32,27.77503817202344,12.562969638194955,1.27,69.42,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-18 16:00:00,75.42,61.9,5.87,16.22,22.09,27.77503817202344,12.562969638194955,1.27,55.26,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 08:00:00,7.37,27.52,10.24,14.15,24.39,27.77503817202344,12.562969638194955,1.35,96.41,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 09:00:00,20.64,18.0,10.09,14.12,24.21,27.77503817202344,12.562969638194955,1.34,63.99,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 10:00:00,23.57,32.71,10.1,14.22,24.32,27.77503817202344,12.562969638194955,1.34,42.38,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 11:00:00,30.61,34.39,10.09,14.19,24.27,27.77503817202344,12.562969638194955,1.33,84.01,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 12:00:00,39.82,47.57,10.14,14.21,24.35,27.77503817202344,12.562969638194955,1.33,56.66,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 13:00:00,24.08,33.19,10.24,14.16,24.4,27.77503817202344,12.562969638194955,1.33,49.12,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 14:00:00,37.37,39.32,10.42,14.25,24.67,27.77503817202344,12.562969638194955,1.33,38.4,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 15:00:00,28.79,46.38,10.52,14.2,24.72,27.77503817202344,12.562969638194955,1.32,98.92,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-19 16:00:00,24.87,31.34,10.45,14.38,24.83,27.77503817202344,12.562969638194955,1.33,70.19,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 08:00:00,15.97,54.86,10.53,14.68,25.21,27.77503817202344,12.562969638194955,1.4,30.05,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 09:00:00,13.96,51.81,10.22,14.56,24.78,27.77503817202344,12.562969638194955,1.39,76.22,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 10:00:00,28.38,70.91,9.95,14.67,24.62,27.77503817202344,12.562969638194955,1.38,80.19,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 11:00:00,22.81,72.6,9.79,14.88,24.67,27.77503817202344,12.562969638194955,1.38,79.79,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 12:00:00,33.98,89.31,10.14,16.12,26.27,27.77503817202344,12.562969638194955,1.43,53.03,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 13:00:00,56.32,118.01,10.24,16.62,26.86,27.77503817202344,12.562969638194955,1.49,57.18,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 14:00:00,38.6,90.0,8.21,16.08,24.27,27.77503817202344,12.562969638194955,1.44,34.69,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 15:00:00,43.94,68.32,6.08,13.57,19.65,27.77503817202344,12.562969638194955,1.35,42.99,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-20 16:00:00,44.04,78.74,5.66,13.69,19.34,27.77503817202344,12.562969638194955,1.35,41.4,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 08:00:00,28.45,81.99,4.97,13.74,18.71,27.77503817202344,12.562969638194955,1.51,34.43,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 09:00:00,31.31,88.97,4.96,13.73,18.7,27.77503817202344,12.562969638194955,1.5,38.21,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 10:00:00,34.85,85.37,5.0,13.69,18.69,27.77503817202344,12.562969638194955,1.48,37.12,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 11:00:00,40.66,89.04,4.93,13.79,18.73,27.77503817202344,12.562969638194955,1.46,43.92,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 12:00:00,42.74,89.81,4.98,13.75,18.73,27.77503817202344,12.562969638194955,1.45,45.6,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 13:00:00,52.8,103.93,4.99,13.77,18.76,27.77503817202344,12.562969638194955,1.44,42.47,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 14:00:00,51.53,103.88,5.0,13.78,18.77,27.77503817202344,12.562969638194955,1.43,38.16,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 15:00:00,46.05,96.48,5.05,13.76,18.8,27.77503817202344,12.562969638194955,1.43,37.7,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-21 16:00:00,34.01,89.59,5.0,13.75,18.75,27.77503817202344,12.562969638194955,1.42,32.05,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 08:00:00,50.34,113.58,4.95,13.76,18.71,27.77503817202344,12.562969638194955,1.52,28.79,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 09:00:00,39.14,70.16,4.94,13.76,18.71,27.77503817202344,12.562969638194955,1.53,38.63,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 10:00:00,32.79,71.63,4.95,13.75,18.69,27.77503817202344,12.562969638194955,1.53,39.77,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 11:00:00,32.96,55.99,4.91,13.8,18.7,27.77503817202344,12.562969638194955,1.53,34.42,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 12:00:00,33.42,52.4,4.96,13.77,18.73,27.77503817202344,12.562969638194955,1.51,28.65,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 13:00:00,19.91,49.5,4.95,13.76,18.71,27.77503817202344,12.562969638194955,1.49,40.34,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 14:00:00,32.36,40.65,4.94,13.82,18.76,27.77503817202344,12.562969638194955,1.47,47.54,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
